time,flux,flux_err
1345.9176619667896,6572.652,11.253026
1345.9190508540164,6570.8853,11.262067
1345.920439741214,6582.739,11.26043
1345.921828628412,6567.9443,11.244376
1345.9232175156394,6575.087,11.253958
1345.9246064028375,6572.203,11.251895
1345.9259952900636,6553.48,11.245901
1345.927384177262,6564.776,11.25708
1345.9287730644605,6580.87,11.263713
1345.9301619516868,6562.552,11.257058
1345.9315508388845,6592.333,11.255665
1345.932939726083,6574.959,11.249817
1345.9343286132807,6566.462,11.251871
1345.935717500508,6585.7334,11.248768
1345.9371063877056,6556.072,11.238753
1345.9384952749033,6569.869,11.249402
1345.9398841621019,6571.662,11.251839
1345.9412730493289,6566.894,11.246569
1345.9426619365267,6586.5107,11.256705
1345.9440508237253,6571.6074,11.245117
1345.945439710923,6561.905,11.242614
1345.9468285981206,6571.098,11.24559
1345.9482174853185,6568.392,11.243878
1345.9496063725164,6574.822,11.251523
1345.950995259744,6577.0435,11.248865
1345.9523841469418,6572.699,11.243001
1345.953773034139,6559.2764,11.232884
1345.9551619213375,6556.463,11.2322235
1345.956550808536,6580.4214,11.244027
1345.9579396957329,6568.5205,11.243223
1345.9593285829308,6578.477,11.2515745
1345.960717470129,6574.8896,11.245617
1345.9621063573272,6557.6494,11.238812
1345.963495244525,6578.977,11.242516
1345.9648841317226,6559.559,11.230895
1345.9662730189207,6570.6533,11.238636
1345.967661906119,6554.397,11.23429
1345.9690507932878,6564.511,11.24755
1345.9704396804855,6561.975,11.2388935
1345.971828567684,6577.6665,11.239723
1345.9732174548817,6576.339,11.24231
1345.9746063420796,6581.0127,11.242264
1345.9759952292775,6583.392,11.242813
1345.9773841164752,6550.318,11.226771
1345.9787730036446,6567.095,11.236368
1345.9801618908423,6569.1914,11.226877
1345.9815507780395,6571.9336,11.24118
1345.982939665238,6571.775,11.241796
1345.9843285524075,6549.4893,11.230007
1345.9857174396045,6581.9517,11.245312
1345.9871063268024,6578.698,11.251158
1345.988495214001,6558.296,11.23159
1345.9898841011695,6558.893,11.227058
1345.9912729883672,6573.9697,11.237469
1345.9926618755653,6559.738,11.234682
1345.9940507627346,6552.825,11.229584
